ID; Name (source); Name (display); Description; Frame Length (bytes); Channel Offset (bits); Channel Length (bits); Channel Name (source); Channel Name (display); Channel Data Type; Channel Description; Calibration Function (CHANNELVAL=...); Calibration Function Inverse (USERVAL=...); Unit; Range Min; Range Max; List Name (source); Part-Of-ID; Start Channel; Num Channel; Mirrored TC ID; Group
128; Identification; Identification; Identification details ; 8; 0; 8; NodeType; Node type; UnsignedInteger; CubeComponent node number (For internal use); ; ; Node Type; 0; 0; ; 
 ; ; ; ; ; 29; 1; ISDisableError; Image sensor disable error; Boolean; Image sensor disable error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 30; 1; ConfigChangeError; Configuration change error; Boolean; Configuration change error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 31; 1; ISEnableError; Image sensor enable error; Boolean; Image sensor enable error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 32; 1; FocalLengthRangeError; Focal length range error; Boolean; The new focal length value is too small or to large; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 33; 1; PrincipalPointRangeError; Principal point range error; Boolean; The new values for the boresight is too small or to large; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 40; 1; ImageBlockSizeError; Image Block Size Error; Boolean; The size for the image block specified is invalid.; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 41; 1; TimingError; Main operating loop over time; Boolean; The main loop took longer than one second to execute. ; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 42; 1; TcmdIDError; Telecommand ID error; Boolean; An unknown telecommand ID was received; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 43; 1; TlmIDError; Telemetry ID error ; Boolean; An unknown telemetry ID was received; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 44; 1; TriggerAlreadySet; Trigger was already received; Boolean; The capture and process command was received twice and the first capture and process command has not been executed; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 45; 1; TimerAlreadyRunning; Timer already running; Boolean; Attempt was made to start image capture timer, but it was already running; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 46; 1; DelayTimeSetToLong; Delay timer timeout set to long; Boolean; Attempt was made to set timeout of timer for longer than one second. ; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 48; 1; StarPixSetError; Star pixels set error; Boolean; Attempt was made to set an invalid min or max pixel value; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 49; 1; MaxStarsSetError; Max stars set error; Boolean; Attempt was made to set an invalid max centroids amount; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 50; 1; MaxStarsDetection; Max stars detected; Boolean; More than the max number of stars could be detected; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 51; 1; MaxInvalidStarsDetectionError; Maximum invalid stars detection error; Boolean; Max invalid stars were found (Bright object in FoV); ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 52; 1; CentroidingGridSizeSetError; Invalid centroiding grid size set error; Boolean; Attempt was made to set an invalid grid size value; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 53; 1; ValidImageRangeSetError; Valid image range set error; Boolean; Search range error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 54; 1; MaxNoiseSetError; Max noise set error; Boolean; Attempt was made to set an invalid max noise value.; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 55; 1; MaxNoiseDetected; Max noise detected in Image; Boolean; The maximum allowable amount of noise has been detected in the image. Resets for each image captured and detection performed. ; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 56; 1; SetIDModeError; Invalid ID mode set ; Boolean; Invalid ID mode set ; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 57; 1; IDModeError; Invalaid ID mode; Boolean; Invalaid ID mode; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 58; 1; ReducedIDListSizeError; Reduced ID list size error; Boolean; Reduced ID list size error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 59; 1; LessThanThreeStarsInFoV; Less than three stars in FoV; Boolean; Less than three stars in catalogue for given attitude; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 60; 1; LessThanThreeStarsDetected; less than three stars detected; Boolean; less than three stars Detected; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 61; 1; LessThanThreeStarsID; Less than three stars ID; Boolean; Less than three stars ID; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 62; 1; IDError; ID error; Boolean; IDError; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 63; 1; IDSearchError; ID search error; Boolean; ID search error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 64; 1; DeclinationSetError; Declination set error; Boolean; Attempt was made to set an invalid declination value; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 65; 1; RightAscensionSetError; Right Ascension set error; Boolean; Attempt was made to set an invalid right ascension value; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 66; 1; QuestindexError; Quest Index error; Boolean; Quest Index error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 67; 1; RateExceeded; Maximum change in atttitude between sequential readings were exceeded; Boolean; Maximum change in atttitude between sequential readings were exceeded; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 72; 1; FlashInvalidAreaError; FlashInvalidAreError; Boolean; FlashInvalidAreError; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 73; 1; FlashLockedError; FlashLockedError; Boolean; FlashLockedError; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 74; 1; FlashTimeoutError; FlashTimeoutError; Boolean; FlashTimeoutError; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 75; 1; FlashUnalignedError; FlashUnalignedError; Boolean; FlashUnalignedError; ; ; Flag; 0; 0; ; ; 0; 0;  
131; TcmdProcessed; Telecommand Processed; Indicates if all TCMDs are processed. 0 = No, 1 = Yes.; 1; 0; 8; Processed; Telecommand Processed; UnsignedInteger; Indicates if all TCMDs are done processing, 1 = yes, 0 = no.; ; ; Status; 0; 0; ; ; 0; 0;  
132; TaskStatus; Task Status; Indicates the action CubeStar is busy with or has completed.; 1; 0; 8; taskStatus; Task Status; Enumeration; Indicates which action CubeStar is busy with or has completed.; ; ; Task stuatus; 0; 39; TaskStatusVal; ; 0; 0;  
133; StartAndLoopTime; Start-up and main loop time; Start-up and main loop time; 6; 0; 16; StartupTime; Start up time; UnsignedInteger; Start up time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; LoopTime; Main Loop execution time; UnsignedInteger; Main Loop execution time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; MaxLoopTime; Max main loop execution time; UnsignedInteger; Max main loop execution time; ; ; ms; 0; 0; ; ; 0; 0;  
134; SRAMTestResults; SRAM test results; SRAM test results. 1 = pass, 0 = fail. ; 1; 0; 8; TestResult; SRAM Test Results; UnsignedInteger; SRAM test Results. 1= pass , 0 = fail.; ; ; status; 0; 0; ; ; 0; 0;  
135; PowerStatus; Power switch status; Status of power switch. 1 = on, 0 = off.; 7; 0; 8; Status; Power switch status; UnsignedInteger; Power switch status. 1 = on, 0 = off.; ; ; status; 0; 0; ; 
 ; ; ; ; ; 8; 16; Current; Current; UnsignedInteger; Current; ; ; mA; 0; 0; ; 
 ; ; ; ; ; 24; 16; MaxCurrent; Max Current; UnsignedInteger; Max Current; ; ; mA; 0; 0; ; 
 ; ; ; ; ; 40; 16; MinCurrent; Min Current; UnsignedInteger; Min Current; ; ; mA; 0; 0; ; ; 0; 0;  
136; Exposure; Exposure; Exposure value; 2; 0; 16; exposure; Exposure; UnsignedInteger; Exposure; ; ; Register value; 0; 0; ; ; 0; 0;  
137; ImageSetup; Image setup; Image setup details; 6; 0; 16; FirstLine; The first line of image in image sensor; UnsignedInteger; The first line of image on pixel array; ; ; Line(Row); 0; 0; ; 
 ; ; ; ; ; 16; 16; Width; Width of the image; UnsignedInteger; Width of the image; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 32; 16; Height; Height of the image; UnsignedInteger; Height of the image; ; ; pixels; 0; 0; ; ; 0; 0;  
138; CameraSetup; Image sensor setup details; Image sensor setup details ; 14; 0; 16; Line; Line configuration register; UnsignedInteger; Line configuration register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 16; 16; Misc1; Misc 1  register; UnsignedInteger; Misc 1 register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 32; 16; Misc2; Misc 2 Register; UnsignedInteger; Misc 2 register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 48; 16; Clock; Clock configuration register; UnsignedInteger; Clock configuration register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 64; 16; Chain; Chain configuration register; UnsignedInteger; Chain configuration register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 80; 16; Ctrl; Ctrl configuration register; UnsignedInteger; Ctrl configuration register; ; ; register; 0; 0; ; 
 ; ; ; ; ; 96; 16; Clamp; Clamp configuration register; UnsignedInteger; Clamp configuration register; ; ; register; 0; 0; ; ; 0; 0;  
139; FocalLengthDetails; Focal length; Focal Length; 12; 0; 32; FocalLength; Focal length; FloatingPoint; Focal length; ; ; mm; 0; 0; ; 
 ; ; ; ; ; 32; 32; Fx; Focal length X-axis component; FloatingPoint; Focal length in the x component; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 64; 32; Fy; Focal length Y-axis component; FloatingPoint; Focal length in the y component; ; ; pixels; 0; 0; ; ; 0; 0;  
140; PrincipalPoint; Principal point; Principal point; 8; 0; 32; Cx; X-coordinate; FloatingPoint; X-coordinate pixel coordinates; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 32; 32; Cy; Y-coordinate; FloatingPoint; Y-coordinate pixel coordinates; ; ; pixels; 0; 0; ; ; 0; 0;  
141; DistortionCoef; Distortion coefficients; Distortion coefficients ; 16; 0; 32; K1; K1 radial distortion coefficient; FloatingPoint; First radial distortion coefficient; ; ; gain; 0; 0; ; 
 ; ; ; ; ; 32; 32; K2; K2 radial distortion coefficient; FloatingPoint; Second radial distortion coefficient; ; ; gain; 0; 0; ; 
 ; ; ; ; ; 64; 32; P1; P1 tangential distortion coefficient; FloatingPoint; First tangential distortion coefficient; ; ; gain; 0; 0; ; 
 ; ; ; ; ; 96; 32; P2; P2 tangential distortion coefficient; FloatingPoint; Second tangential distortion coefficients; ; ; gain; 0; 0; ; ; 0; 0;  
142; IS_Register; Date received from the image sensor; Date received from the image sensor; 2; 0; 8; DataH; Date received from the image sensor High; UnsignedInteger; Date received from the image sensor High; ; ; ; 0; 0; ; 
 ; ; ; ; ; 8; 8; DataL; Date received from the image sensor Low; UnsignedInteger; Date received from the image sensor Low; ; ; ; 0; 0; ; ; 0; 0;  
143; ImageBlock; Image Block; Read Image Block; 128; 0; 1024; Block; Receive specified image Block; ByteArray; Receive specified image Block; ; ; ; 0; 0; ; ; 0; 0;  
144; CameraTiming; Camera timing info; Camera timing info; 6; 0; 16; SetupTime; Camera setup time; UnsignedInteger; Camera setup time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; ExposureUpdateTime; Exposure update time; UnsignedInteger; Exposure update time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; CaptureTime; Image capture time; UnsignedInteger; Image capture time; ; ; ms; 0; 0; ; ; 0; 0;  
145; DetectionRegion; Search region; Search region; 9; 0; 8; StepSize; Step size; UnsignedInteger; Step size; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 8; 16; Xstart; Start of x-axis search region; UnsignedInteger; Start of x-axis search region; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 24; 16; Xend; End of x-axis search region; UnsignedInteger; End of x-axis search region; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 40; 16; Ystart; Start of y-axis search region; UnsignedInteger; Start of y-axis search region; ; ; pixel position; 0; 0; ; 
 ; ; ; ; ; 56; 16; Yend; End of y-axis search region; UnsignedInteger; End of y-axis search region; ; ; pixel position; 0; 0; ; ; 0; 0;  
146; DetectionThresholdValues;  Detection Threshold values; Detection threshold values; 3; 0; 8; DarkThreshold; Dark threshold pixel value; UnsignedInteger; Dark threshold pixel value; ; ; 8-bit pixel; 0; 0; ; 
 ; ; ; ; ; 8; 8; DetectionThreshold; Detection pixel threshold value; UnsignedInteger; Detection pixel threshold value; ; ; 8-bit pixel; 0; 0; ; 
 ; ; ; ; ; 16; 8; StarThreshold; Star pixel threshold value; UnsignedInteger; Star pixel threshold value; ; ; 8-bit pixel; 0; 0; ; ; 0; 0;  
147; StarPixels; Min and max pixels of star; Min and max pixels of star ; 2; 0; 8; MinPixels; Min Pixels; UnsignedInteger; The minimum pixels required to be considered a star.; ; ; 8-bit pixel; 0; 0; ; 
 ; ; ; ; ; 8; 8; MaxPixels; Max Pixels; UnsignedInteger; The maximum pixels which will be considered to be a star.  ; ; ; 8-bit pixel; 0; 0; ; ; 0; 0;  
148; StarGrid; Star grid size; Centroid grid size; 1; 0; 8; GridSize; Grid Size; UnsignedInteger; Grid Size; ; ; pixels; 0; 0; ; ; 0; 0;  
149; MaxStars; Max stars; Max stars; 3; 0; 8; maxStars; Max Stars; UnsignedInteger; Maximum number of stars which can be detected; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 8; 8; maxInvalidStars; Maximum Invalid Stars; UnsignedInteger; Maximum number of invalid stars which can be detected; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 16; 8; maxNoise; Max Amount of Noise; UnsignedInteger; Max amount of noise which can be detected; ; ; noise; 0; 0; ; ; 0; 0;  
150; DetectionSummary; Detection Summary; Detection Summary; 4; 0; 8; NumStarsDetected; Amount of stars detected; UnsignedInteger; Number of stars detected; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 8; 8; NumInvalidStars; Number of invalid stars; UnsignedInteger; Number of invalid stars detected; ; ; invalid stars; 0; 0; ; 
 ; ; ; ; ; 16; 8; AmountOfNoise; Amount of noise detected; UnsignedInteger; Amount of noise detected; ; ; noise; 0; 0; ; 
 ; ; ; ; ; 24; 8; ImageDarkValue; Image dark value; UnsignedInteger; Image dark value; ; ; 8-bit pixel; 0; 0; ; ; 0; 0;  
151; StarPositions; Star positions; Star position on image; 20; 0; 32; X_Coordinate; X coordinate; FloatingPoint; The x-axis coordinate of star; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 32; 32; Y_Coordinate; Y coordinate; FloatingPoint; The y-axis coordinate of star; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 64; 32; X_CorrectedCoordinate; X Distortion corrected coordinate; FloatingPoint; X distortion corrected coordinate; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 96; 32; Y_CorrectedCoordinate; Y Distortion corrected coordinate; FloatingPoint; Y distortion corrected coordinate; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 128; 8; StarNumber; Number of the detected star; UnsignedInteger; Number of the detected star; ; ; star number; 0; 0; ; 
 ; ; ; ; ; 136; 8; Size; The size of the star in pixels; UnsignedInteger; The size of the star in pixels; ; ; pixels; 0; 0; ; 
 ; ; ; ; ; 144; 16; Intensity; The intensity of the star; UnsignedInteger; The intensity of the star; ; ; sum of pixels; 0; 0; ; ; 0; 0;  
152; BodyUnitVectors; Body unit vectors; Unit vectors to stars in body coordinates ; 7; 0; 16; VbX; Body vector x component ; SignedInteger; Body unit vector x-component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 16; 16; VbY; Body vector y component ; SignedInteger; Body unit vector y-component; RAWVAL/10000.0; USERVAL*10000.0; unit vector componnet; -1; 1; ; 
 ; ; ; ; ; 32; 16; VbZ; Body vector z component ; SignedInteger; Body unit vector z-component; RAWVAL/10000.0; USERVAL*10000.0; unit vector compnent; -1; 1; ; 
 ; ; ; ; ; 48; 8; StarNumber; Number of the detected star; UnsignedInteger; Number of the detected star; ; ; star number; 0; 0; ; ; 0; 0;  
153; DetectionTimingOne; Detection timing one; Detection timing one; 8; 0; 16; MaxStarSearchTime; Max time spent on finding a star; UnsignedInteger; Max time spent on finding a star; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxCentroidFindTime; Max time spent on finding the center of a star; UnsignedInteger; Max time spent on finding the center of a star; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; MaxCorrectionTime; Max time spent on distortion correction; UnsignedInteger; Max time spent on distortion correction; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 48; 16; MaxVectorCalTime; Max time spent on vector calculations; UnsignedInteger; Max time spent on vector calcuations; ; ; ms; 0; 0; ; ; 0; 0;  
154; DetectionTimingTwo; Detection timing two; Detection timing two; 4; 0; 16; StarDetectionTime; The current star detection duration; UnsignedInteger; The current star detection duration; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxStarDetectionTime; The maximum star detection duration; UnsignedInteger; The maximum star detection duration; ; ; ms; 0; 0; ; ; 0; 0;  
155; IDMode; ID mode; Identification mode; 1; 0; 8; Mode; Identification mode; Enumeration; Identification mode; ; ; ID mode; 0; 0; IDModeVal; ; 0; 0;  
156; IDMargin; ID distance  margin; ID distance margin; 1; 0; 8; Margin; ID distance margin; UnsignedInteger; Distance  error margin; RAWVAL/10000.0; USERVAL*10000.0; ; 0; 0; ; ; 0; 0;  
157; NumIdStars; Number of ID stars; Number of identified stars; 1; 0; 8; numIdStars; Number of identified stars; UnsignedInteger; Number of identified stars; ; ; stars; 0; 0; ; ; 0; 0;  
158; IDStarsDetails; ID stars details; Identified stars details; 5; 0; 8; StarNumber; Corresponding star number; UnsignedInteger; Corresponding star number; ; ; star number; 0; 0; ; 
 ; ; ; ; ; 8; 16; Identity; Identity of the star; UnsignedInteger; Identity of the star; ; ; catalog number; 0; 0; ; 
 ; ; ; ; ; 24; 8; ValidationVotes; Number of validation votes; UnsignedInteger; Number of validation votes; ; ; votes; 0; 0; ; 
 ; ; ; ; ; 32; 8; Confidence; The confidence of the match; UnsignedInteger; The confidence of the match; ; ; confidence percentage; 0; 0; ; ; 0; 0;  
159; InertialUnitVectors; Inertial unit vectors; Inertial unit vectors; 10; 0; 16; ViX; Inertial vector x component; SignedInteger; Inertial vector x component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 16; 16; ViY; Inertial vector y component; SignedInteger; Inertial vector y component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 32; 16; ViZ; Inertial vector z component; SignedInteger; Inertial vector z component; RAWVAL/10000.0; USERVAL*10000.0; unit vector component; -1; 1; ; 
 ; ; ; ; ; 48; 8; StarNumber; Corresponding star number; UnsignedInteger; Corresponding star number; ; ; ; 0; 0; ; 
 ; ; ; ; ; 56; 16; Identity; Identity of the star; UnsignedInteger; Identity of the star; ; ; Catalogue number; 0; 0; ; 
 ; ; ; ; ; 72; 8; Confidence; The confidence of the match; UnsignedInteger; The confidence of the match; ; ; percentage; 0; 0; ; ; 0; 0;  
160; IDTimingOne; ID timing one; ID timing one; 8; 0; 16; MaxModeSelectionTime; Max time spend on setting the correct mode; UnsignedInteger; Max time spent on setting the correct mode; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxDistanceCalTime; Max time spent on cal distances; UnsignedInteger; Max time spent on cal distances; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; MaxVoteRoundOneTime; Max time spent on VoteRound; UnsignedInteger; Max time spent on VoteRound; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 48; 16; MaxFindIDTime; Max time spent on determining the ID; UnsignedInteger; Max time spent on determining the ID; ; ; ms; 0; 0; ; ; 0; 0;  
161; IDTimingTwo; ID timing two; ID timing two; 6; 0; 16; MaxVoteRoundTwoTime; Max time spent on second vote round; UnsignedInteger; Max time spent on second vote round; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxSelectID; Max time spent on ID determination; UnsignedInteger; Max time spent on ID determination; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 32; 16; MaxAlgoCompletionTime; Max algorithm completion time; UnsignedInteger; Max algorithm completion time; ; ; ms; 0; 0; ; ; 0; 0;  
162; IDTimingThree; ID timing three; ID timing three; 4; 0; 16; StarIdentificationTime; The time spent on star identification; UnsignedInteger; The time spent on star identification; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxStarIdentificationTime; The max time spent of the identification; UnsignedInteger; The max time spent of the identification; ; ; ms; 0; 0; ; ; 0; 0;  
163; BestStarSelectionTime; Best star selection time; Best star selection time; 4; 0; 16; LatestTime; Best star selection time; UnsignedInteger; Best star selection time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxTime; Best star selection max time; UnsignedInteger; Best star selection max time; ; ; ms; 0; 0; ; ; 0; 0;  
164; Quaternion; Quaternions; Estimated attitude in Quaternions; 8; 0; 16; Qbar0; Q0; SignedInteger; First vector component; RAWVAL/10000.0; USERVAL*10000.0; ; 0; 0; ; 
 ; ; ; ; ; 16; 16; Qbar1; Q1; SignedInteger; Second vector component; RAWVAL/10000.0; USERVAL*10000.0; ; 0; 0; ; 
 ; ; ; ; ; 32; 16; Qbar2; Q2; SignedInteger; Third vector component; RAWVAL/10000.0; USERVAL*10000.0; ; 0; 0; ; 
 ; ; ; ; ; 48; 16; Qbar3; Q3; SignedInteger; Fourth vector component; RAWVAL/10000.0; USERVAL*10000.0; ; 0; 0; ; ; 0; 0;  
165; SphereicalCoordinates; Right ascension and declination; Attitude in right ascension and declination; 8; 0; 32; Declination; Declination; FloatingPoint; Declination; ; ; radians; 0; 0; ; 
 ; ; ; ; ; 32; 32; RightAscension; Right Ascension; FloatingPoint; Right ascension; ; ; radians; 0; 0; ; ; 0; 0;  
166; AttitudeTiming; Attitude determination timing; Attitude determination timing; 4; 0; 16; LatestTime; Current attitude estimation time; UnsignedInteger; Current attitude estimation time; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 16; 16; MaxTime; Max attitude estimation time; UnsignedInteger; Max attitude estimation time; ; ; ms; 0; 0; ; ; 0; 0;  
167; PerformanceParameters; Performance parameters; Performance parameters; 7; 0; 8; NumStarsDetected; Number of stars detected; UnsignedInteger; Number of stars detected; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 8; 8; StarImageNoise; Star image noise; UnsignedInteger; Star image noise; ; ; noise; 0; 0; ; 
 ; ; ; ; ; 16; 8; InvalidStars; Invalid Stars; UnsignedInteger; Amount of invalid stars detected; ; ; Invalid stars; 0; 0; ; 
 ; ; ; ; ; 24; 8; NumberOfStarsID; Number of stars identified; UnsignedInteger; Number of stars identified; ; ; stars; 0; 0; ; 
 ; ; ; ; ; 32; 8; Idmode; Identification mode; Enumeration; Identification mode; ; ; ID mode; 0; 0; IDModeVal; 
 ; ; ; ; ; 40; 8; ImageDarkValue; Image dark value; UnsignedInteger; The avgerage value of center line in image; ; ; 8-bit pixel value; 0; 0; ; 
