List Name (source); List Value; List Value Name (source); List Value Name (display); List Value Description
 ; 12; BackupModeRST_BackupBrownOutVddRegulated_BrownOutRegulated; BackupModeRST and Backup Brown-Out Vdd Regulated and Brown-Out Regulated; Backup Mode reset and Backup domain brown-out on VDD regulated and brown out on regulated
 ; 13; BackupModeRST_WatchdogReset; Backup Mode RST and Watchdog Reset; Backup mode reset and Watchdog reset
 ; 14; BackupBrownOutBuvin_SystemReqReset; Backup Brown-Out Buvin and System Request Reset; Backup Domain brown-out on BUVIN and System request reset.
 ; 15; Unknown; Unkown Reset Cause; Unkown Reset Cause
SramBank; 1; Sram1; SRAM bank 1; SRAM bank 1
 ; 2; Sram2; SRAM bank 2; SRAM bank 2
TcErrorReason; 0; NoError; No Error; No error
 ; 1; InvalidTc; Invalid TC; Invalid telecommand ID
 ; 2; IncorrectLen; Incorrect Length; Incorrect TC parameter length
 ; 3; IncorrectParams; Incorrect Parameter; Incorrect TC parameter value
